,QC_1,QC_2,QC_3,QC_4,QC_5,QC_6
31.2141574391148/1055.76589550261,11.095923,10.709261,11.037835,10.548972,10.97157,11.291052
31.1861056277626/1123.75670971377,11.061639,10.459653,10.941217,11.287467,10.524538,11.270188
558.243283455832/851.283919579785,7.66664,7.856862,8.649449,7.542157,7.458443,7.444832
596.7042803848/718.416507392791,12.344896,12.358067,12.259768,12.291563,12.148725,12.080929
979.848041735197/814.509675688912,8.719092,8.946307,8.646361,9.056791,8.636799,8.969548
561.173051800644/790.205622781793,8.880025,9.397476,9.364763,8.872714,9.528618,8.851589
31.2362102709318/953.787968932465,11.426417,10.623103,11.302924,11.279728,11.104355,10.756816
554.99107066372/802.280343519949,9.47497,9.587586,9.237815,9.221769,9.980658,9.519348
667.875295538651/1077.60188967999,9.261019,9.491305,9.104417,9.126402,9.626074,9.196662
329.49970285516/567.068621885569,8.419694,8.867313,8.760952,8.709659,9.492469,8.822247
31.2222103988915/1088.75520004485,12.5713,12.37485,12.15155,12.20441,12.09692,12.11948
523.454961408649/516.198532233738,8.932716,8.356075,8.117235,8.187676,7.520966,8.143156
542.123295298794/796.287953052372,7.018194,9.588377,9.425773,10.050255,9.865615,9.028758
495.377454255757/596.149708676977,8.683001,8.522936,8.607936,8.717999,9.041477,9.693698
558.961074561404/771.268155232034,8.669794,9.11432,9.065937,8.943847,8.898268,9.507238
666.298351622464/329.194126077471,8.339179,10.499685,9.512174,10.59799,10.970153,9.682518
682.24114347759/300.20155550091,10.604701,10.144261,10.215731,10.190231,10.196931,10.117759
976.028627629866/819.456567930287,9.008534,8.830352,9.349098,9.14258,9.073243,8.876754
531.811088160465/480.108014086561,9.64937,9.395751,9.381469,9.38219,9.756201,9.993004
31.2502280452795/987.7828111094,11.358032,11.133436,11.34822,11.026554,11.209827,11.041133
978.166509260211/847.473967939604,8.381321,8.656789,9.000709,9.022793,8.752154,9.090957
31.2462277998004/1165.74051722338,11.151434,10.825982,10.752492,10.65766,10.525203,10.649657
972.360658879866/898.480267206559,8.905644,8.998061,8.706607,8.732576,8.638703,9.152397
554.72040330318/773.263215295585,8.905878,9.035327,8.943983,9.064757,8.844513,8.821995
357.555269475569/666.088113307895,9.978774,10.086893,10.203235,10.155397,10.470146,10.185846
543.751928496779/899.222866157637,8.528175,8.788671,9.0092,9.550619,8.813495,9.291092
391.850282367907/682.100598256306,10.004926,9.864326,10.036238,9.917763,9.64102,10.120476
594.402160644531/623.386108458973,8.507802,8.392608,8.007484,8.261997,8.152191,8.458354
31.2482283742804/995.778195805827,10.628148,11.107918,10.442739,10.422466,10.624913,10.494047
354.550140916255/242.139278927927,9.390901,9.413058,9.543317,9.078356,9.053062,8.906707
575.670586836965/731.390002600342,7.312923,6.817977,8.049065,7.021658,7.017143,7.038865
532.812057762815/682.068979328841,8.439274,8.852028,9.34073,8.572305,9.026521,8.67745
555.131181148061/788.206964722109,9.139667,8.826727,8.736747,8.785041,8.857215,9.129011
554.608351322643/716.904664238108,5.93101,6.585347,6.317407,6.039534,6.533905,6.636132
37.2999299367269/1183.24455576629,10.830949,10.348675,10.532504,10.673781,10.504321,10.8425
541.583681340803/664.115457511755,10.514659,10.633723,10.620569,10.222367,10.269703,10.468701
390.9390542549/598.145153667191,10.239095,10.24237,10.526701,10.456535,10.026544,9.775211
573.220066003632/702.395134922956,9.018632,8.948947,8.626086,8.481091,8.862749,8.861541
520.230262622499/662.131265156884,8.91582,9.153746,8.70957,9.398053,9.392393,9.005647
31.2422808931585/1267.72836650406,11.141928,10.769239,10.500293,11.072743,11.061298,11.013174
635.011669493558/714.265271772943,9.28514,8.764566,8.839281,8.707894,8.489334,8.781222
398.874826531661/518.175684592974,9.196866,9.179191,9.366789,9.484542,9.143184,9.71758
977.676791007059/765.515290575214,8.581976,8.906962,8.802215,8.81961,8.571287,9.01609
537.679333603173/792.313592840356,9.213022,9.065088,8.50906,9.37526,8.785968,8.841004
465.079615007367/244.155566051849,8.590844,8.772704,8.659645,8.667254,8.693973,8.511302
390.163598311575/710.095708807325,9.177616,9.884935,9.46353,9.424816,10.066118,9.928768
629.577896921258/718.41821703569,12.344896,12.358067,12.259768,12.291563,12.148725,12.080929
31.2401578802811/953.292398828641,10.871943,10.614545,10.710482,10.563819,11.09979,11.0337
669.76312577097/210.089072542903,8.992677,8.794695,8.570595,8.709659,8.62091,8.568961
47.9346668009172/309.107594694701,8.781539,8.169157,8.618423,8.310004,8.479403,8.471774
592.908563981976/623.390508750793,8.507802,8.392608,8.007484,8.261997,8.152191,8.458354
786.402200263843/678.412996865402,7.918448,7.922965,8.109818,7.978723,7.825798,8.168104
174.165403399551/382.062074417469,9.278452,8.984412,9.157353,8.731602,8.617515,9.504279
552.670791358279/736.278115209101,17.12065,17.19221,17.16788,17.07753,17.10429,16.8904
606.635297808731/815.341516528073,9.825812,10.260527,10.491183,10.511252,10.102996,9.955824
562.425365782621/885.219010986746,8.510784,8.665802,8.922403,8.98096,8.541831,9.44781
559.55724990577/663.338461859501,8.924235,8.878023,8.907155,8.741314,9.510624,8.827597
31.2261931436104/1021.27785836926,11.01453,10.652554,10.823432,11.20946,10.783842,10.884804
38.9789996230811/987.280933189446,11.007579,10.817023,11.055526,10.469788,11.135631,10.693999
386.606649833813/600.142170914038,9.116128,8.994631,8.738716,9.364744,9.021824,9.25604
654.633002030222/446.11299183839,9.00203,8.718511,9.071467,9.128834,8.476522,8.741922
672.860260545162/194.059866553224,8.802504,8.942793,9.064484,8.8474,9.100075,8.412829
633.85334643983/778.343390976612,9.15729,9.403416,9.437672,9.158001,8.835677,9.28884
31.2561755264015/1089.2678543924,10.694329,10.69735,10.654553,10.750121,10.816246,11.039678
526.688647353858/807.305163605134,8.936642,9.288056,9.164531,9.053047,8.877684,9.367932
31.2061228835792/1274.71166067065,10.964161,10.658727,10.799721,10.399518,10.482879,10.071459
354.245652048211/695.085494851606,8.832683,8.702937,8.721551,9.385007,9.13417,9.091289
541.9642248321/678.32957638402,9.246913,9.174774,9.166283,8.885949,9.18758,9.299249
389.556422718784/626.1670836819,9.280302,9.186292,9.278079,9.476165,9.415989,9.614304
392.460124768709/626.164169036707,9.280302,9.186292,9.278079,9.476165,9.415989,9.614304
480.129668118661/646.144855045247,8.924341,8.509679,9.290069,9.41722,9.266955,7.728199
665.706531190036/770.314383147625,9.126989,8.748984,8.349105,8.401319,9.034593,8.810377
783.911455120957/622.367127477705,8.618392,8.531608,8.346991,8.618392,8.438033,8.263784
883.443918328536/698.279994899108,16.18096,16.30448,16.30582,16.00983,15.90985,15.66618
489.703108402721/568.135913882021,8.175045,8.371208,8.434713,8.866628,8.406082,8.224684
555.41054548297/798.286060475662,10.847976,10.651083,10.517066,10.794312,10.75086,10.882444
31.2702284695809/817.315467540924,10.767408,10.575121,10.358744,11.078495,10.96384,10.665359
541.483771073191/788.257942149377,8.889671,8.477635,8.577885,8.58178,9.119058,8.770582
522.547489099335/632.137024794581,8.556228,8.10978,8.39862,8.879977,8.178558,8.504789
31.2281752134624/1538.66255706651,10.196195,9.852725,9.782399,9.919627,10.210422,10.461844
355.561496132299/739.074971746468,9.214322,8.932198,9.185852,9.012668,9.012116,8.411004
672.524227744655/158.060835160831,8.992139,8.71792,8.75726,8.465188,8.448643,8.921454
623.290330317982/778.318527860404,9.15729,9.403416,9.437672,9.158001,8.835677,9.28884
368.948774371231/553.069696723759,8.021231,8.672705,8.319575,8.726311,8.305917,8.029776
978.945600543106/762.581009969292,6.659057,7.044533,7.33011,7.736678,7.77635,7.688712
575.390229342277/777.396873178728,7.656703,7.647038,7.87016,7.739069,7.627162,7.749266
588.40173446923/1434.8392739542,6.087683,6.263481,6.237991,6.588748,6.38401,6.623873
1004.31429571854/622.367861479533,7.665361,7.263351,6.576093,7.108066,7.323783,7.344278
393.588703356291/518.181401610672,9.196866,9.179191,9.366789,9.484542,9.143184,9.71758
864.494365491365/366.300996014442,8.179348,8.296742,8.597361,8.461457,8.130074,8.950875
433.392176577919/676.086715525271,8.118954,9.134904,8.456911,9.20895,9.280849,8.937888
470.198297333299/607.169643388241,8.424898,8.024875,8.565181,8.144859,7.905666,7.550188
973.480393794545/910.432644334403,8.584969,9.345115,8.820228,8.84409,9.380182,9.143132
395.373915287486/566.163608609788,9.155689,8.63072,8.414208,8.514645,8.824253,9.104899
607.163541024191/820.336692820924,9.969619,10.069755,9.871495,10.233752,9.6579,9.969619
671.261137309827/366.165083847061,8.2677,8.787077,8.77649,8.640726,8.356253,8.876754
31.2361582705849/1173.73387451855,9.836013,9.368897,9.676347,9.879898,10.148436,10.205257
542.539296468099/786.261593963886,9.333672,8.693767,8.757091,8.527415,8.536264,8.755121
611.326913934005/357.128193669771,7.447074,7.166001,7.957117,7.46314,7.711693,7.020719
579.737912897478/850.524090806082,7.892036,7.750148,7.832257,8.074079,7.891701,7.825423
598.589266592996/426.300292246602,7.749936,8.011896,7.876232,8.141192,8.10701,7.78355
664.859475654468/1078.59990293078,8.992212,9.14374,9.024874,8.64298,8.845975,8.906707
562.106491356565/448.16685926961,14.57938,14.79936,14.58515,14.60558,14.45804,14.16491
663.412385639391/788.364813750522,8.832895,8.887892,9.276598,8.944399,8.659483,8.882466
560.421293024431/736.361956809863,7.172159,8.114366,8.16245,7.141314,7.994486,7.63347
369.476598371539/542.024448131609,8.797015,8.518783,8.682833,9.034898,8.860182,8.906181
552.450276692708/871.192720818808,8.515973,8.493859,8.529212,10.033237,9.483365,8.828964
670.955685264186/1087.63264637931,8.879588,9.251996,9.118854,9.435315,8.969762,8.918316
31.3191227829247/919.796663259151,11.27835,10.852584,11.14554,11.035017,11.205708,11.385145
550.142821194833/870.201656473646,9.961171,10.288851,9.907409,9.918695,11.333806,9.983536
31.28633328488/1334.70797023077,11.618367,11.275516,11.340752,11.392599,10.970584,11.287197
624.862875419751/718.420889501918,12.344896,12.358067,12.259768,12.291563,12.148725,12.080929
707.404141610129/714.388291740441,11.515788,11.496711,11.299976,11.471668,11.223798,11.274858
31.2862978483501/877.314969289043,11.415593,11.17504,11.289376,10.910493,11.60164,11.414664
653.589859811883/451.262994570008,9.716664,9.691556,9.795413,9.654164,9.915531,9.720442
596.648002758361/748.250423819573,9.106602,8.714525,9.247531,8.708674,8.662008,8.861541
49.709877382245/445.814335576318,10.52777,10.152037,10.133774,10.098477,10.407783,10.080093
281.488929614686/329.122485340944,13.93138,14.47071,14.43035,14.61081,14.5384,14.25378
607.727364523369/819.358903117499,11.41032,11.37158,11.50035,11.0912,11.28666,11.01118
50.8466666790477/194.945776674486,16.688992,16.827475,16.798801,16.762595,16.634566,16.280017
531.577545701412/562.204122855955,8.689415,8.687927,8.521286,9.416378,8.889306,8.556089
175.975826464201/385.053863825574,8.650545,8.52035,8.896228,8.269257,7.810354,9.210496
358.108267265454/597.157648735014,8.242456,8.458386,8.885656,8.713632,8.880733,8.604681
801.154845120614/297.241815378999,13.17967,12.95024,12.93326,12.77301,12.8067,12.85799
557.972031978139/837.215788606083,7.935612,8.306123,8.286697,8.476171,8.577773,8.065357
1075.51304867393/508.371875940227,10.967499,10.616114,10.612565,9.77694,9.841898,9.551409
180.340227896707/525.980682618168,8.897933,8.39301,9.009742,8.918341,7.736588,8.50001
551.552766498766/593.204913983592,11.375114,12.100879,11.776247,11.690682,11.977162,11.508855
565.406529476768/836.342780669288,7.312923,7.013319,7.428757,7.281702,7.550544,7.570842
604.82937247293/749.402941385272,7.313847,7.402895,7.229447,7.095661,7.380065,7.388535
537.16380390368/518.263454748808,8.939583,8.616462,8.944686,9.294792,8.604434,8.58961
31.306333006474/986.77276908594,12.58619,12.55977,12.83195,12.64776,12.77765,12.71052
31.2603156441136/1199.71449924832,11.30651,11.110721,11.0547,11.05532,10.666146,11.355195
37.5508246170847/674.191558821939,8.718396,7.82476,8.356916,8.202923,8.1616,8.162692
541.855646501508/314.173617832918,8.988689,8.925407,9.14289,8.048084,7.963848,8.216736
796.676667865954/298.243664575711,10.370356,10.229084,10.621746,9.833823,10.069766,10.329747
553.956247965495/716.280275373948,8.570643,8.243084,8.351038,8.60822,8.683839,8.705569
542.302505225466/803.190847148604,8.913225,8.779013,8.669573,8.855127,8.856622,8.671081
556.250142950761/737.280763104653,15.42305,15.44307,15.42618,15.30771,15.34052,15.16345
665.381653902823/1079.59981321299,8.655694,8.72661,8.416859,8.37641,8.576517,8.34522
547.117388808936/679.247089944213,9.098197,8.903558,8.949288,9.039303,8.702376,9.002178
357.059036522581/667.087688275462,8.809874,8.572721,8.536918,8.495544,8.543949,8.825408
567.24701944987/713.383533829556,6.975378,7.453166,6.487298,7.14123,7.497106,7.417353
458.954156708299/578.165202281809,11.997743,12.649532,12.52807,12.892325,12.973955,12.526924
572.889047723067/702.394666627044,9.018632,8.948947,8.626086,8.481091,8.862749,8.861541
520.925188031113/516.197992377485,8.932716,8.356075,8.117235,8.187676,7.520966,8.143156
668.970898009183/1088.63941594789,8.554596,8.231797,8.753929,8.624269,8.38314,8.437986
31.292333435594/994.76030045146,11.85748,11.48864,11.79789,11.77428,11.9131,11.37105
883.75340833162/1308.55750534772,12.065456,12.162709,11.690733,11.987332,11.985895,11.169503
31.2229999073765/764.8031723313,9.132756,9.934528,9.411496,9.343577,9.497801,9.193938
561.56940339741/522.05633269496,10.423824,10.031621,10.095482,9.676103,9.545062,9.921538
821.452667771724/697.285897943542,13.80498,13.79897,13.78927,13.80054,13.72402,13.49883
595.896143863076/1114.58993175159,6.459563,7.37187,7.184489,7.14123,7.369105,7.331627
493.581137673897/766.412310016991,7.087518,6.949875,6.618522,7.311144,7.589361,7.038865
353.518807929859/584.128657432072,8.495863,8.638354,8.54221,8.895344,8.354127,8.581164
31.1800527405321/1170.74101078114,9.153739,9.059775,8.932799,9.313689,8.983499,9.441624
373.261089124178/353.96053915037,8.538863,8.803017,8.526708,8.226664,8.52405,8.384786
385.632070976391/600.142085721316,9.116128,8.994631,8.738716,9.364744,9.021824,9.25604
540.499960380688/900.217878883566,8.077373,8.271239,8.471878,8.475118,8.594402,8.671081
355.402210436369/551.15655054826,8.896424,8.127783,8.094868,8.029906,8.359149,8.926633
31.3003158903959/1198.72141500758,11.605688,11.101171,10.955209,11.448661,11.120604,11.13285
31.2462805697792/680.841594427614,9.912225,11.1483,10.746701,10.992317,10.77535,10.790143
581.127032363624/816.293366701972,9.389198,10.332136,9.968254,9.418709,11.029549,10.419278
582.191637541118/703.397155542952,7.654271,7.747146,7.792581,7.967166,7.88743,7.705586
924.460315369723/619.288133567641,17.56197,17.64926,17.69584,17.31509,17.21517,16.84282
551.858879223204/857.22725829853,8.184887,8.211687,8.464096,8.905754,8.492051,8.890623
553.082686574836/792.206661893989,8.454281,7.779315,8.507732,8.132972,8.490262,8.517786
498.37094651607/563.182690962406,7.340132,7.856378,8.173225,8.36919,7.614671,7.920227
534.345297830147/386.306121939469,8.708471,8.145964,8.452415,8.55672,8.434499,8.159003
975.137770267955/859.428307664223,7.689487,7.739064,7.679841,7.659052,7.919314,8.002296
31.166035434656/1123.26751723494,10.647057,10.46295,10.678344,10.790477,10.817729,10.757782
747.168121873287/310.213812584896,8.434637,8.244653,8.224149,7.861675,7.373509,7.756229
389.356510095429/627.161259645213,8.207973,8.814324,8.447389,8.361415,8.778279,8.728111
31.2782455578185/1182.08116977696,9.431681,9.806749,9.928558,10.166986,9.983143,10.12439
31.2650873953836/885.302904147361,10.699757,10.759022,11.012721,10.936322,10.826096,10.597927
561.51719156901/871.229177004015,11.971347,11.753807,12.062875,11.554116,11.589986,11.431884
510.472338760108/546.16943601115,14.753881,13.698041,13.774554,13.221635,13.24142,13.602006
31.2590699112206/885.300836333512,10.699757,10.759022,11.012721,10.936322,10.826096,10.597927
566.789708187706/804.272281440085,8.343958,8.585243,8.36924,8.630121,8.02018,8.443746
996.867349189624/787.510808954691,7.814349,7.769359,7.605301,7.818674,8.053043,8.159834
432.676437645628/576.166612564802,7.730959,8.748558,8.863043,8.435449,9.219955,8.931202
580.414801346628/287.221180739945,9.136994,9.321303,8.601152,8.704121,8.868758,9.220707
31.2670351664225/1278.72262383241,9.852418,9.619948,9.891476,10.098308,9.576598,9.821647
607.447388766105/780.313225147744,8.169937,8.503267,8.289312,8.646802,8.696419,8.554663
670.418000873766/320.157964140081,8.456536,8.833169,8.717274,8.910571,8.740704,8.731652
621.459789610746/717.412812987405,14.840355,14.836863,14.822149,14.753612,14.697138,14.594911
572.206954152961/841.274896433578,7.941423,6.963813,7.649468,6.747925,6.813629,7.038865
926.094154759457/622.302521725691,9.778674,9.81462,9.746641,9.37156,10.086659,9.48837
174.431369045324/526.986815166301,8.36595,8.186645,8.46657,7.891441,7.540575,7.825423
975.992526941132/914.458203238866,8.388258,8.17621,8.284083,8.311848,8.621108,8.647622
575.733252809759/776.39482395423,7.624538,8.297174,8.902214,8.228653,8.705049,8.263784
480.689021060341/668.050363782347,7.480579,7.443251,7.542785,7.281702,7.537369,8.367939
663.604667797423/769.31615294793,8.205866,8.102526,7.916438,8.056801,7.813569,8.202661
206.806052224678/555.993195450151,7.339889,8.119416,7.734035,6.985592,7.360133,8.105915
387.677458646005/612.16916580811,8.391978,8.571654,8.515524,8.630559,9.033994,8.614054
31.2502809491074/995.273371192922,9.926644,9.695189,9.642604,9.647636,10.140033,9.664953
524.447595429002/661.133773027129,9.650162,10.095241,9.708579,9.795585,10.165115,10.287278
31.2281579804002/1154.74982481167,9.933091,10.138025,9.847671,10.40251,10.118453,10.154756
568.709300794099/713.38080622331,6.975378,7.453166,6.487298,7.14123,7.497106,7.417353
943.716339646724/795.396818419398,11.457912,11.61918,11.655828,11.455272,11.383315,11.345144
970.423447993764/820.463476117183,7.894836,8.041463,7.791931,8.032702,7.884484,7.835839
392.109581127501/599.147772043661,8.834487,8.576198,8.017702,8.582621,8.866405,8.568634
38.6523507101494/113.024354352971,10.105269,9.797887,9.639209,9.761313,9.802579,9.440509
390.075404116982/660.144228807671,8.752612,8.771108,8.663384,9.124694,8.831614,8.816892
666.948388886033/283.154934653685,8.380748,8.06247,8.102362,8.108026,8.002604,8.074444
356.941211901213/696.083357093488,7.820199,8.260549,7.993723,7.859778,8.467412,8.391795
40.7354913343463/642.906107569164,8.066498,7.878037,7.768718,8.106515,7.842143,8.830625
591.650125068531/748.400438945904,7.825326,7.747146,7.742511,7.428017,7.166407,7.498269
539.136107327645/480.107370038172,9.64937,9.395751,9.381469,9.38219,9.756201,9.993004
31.2381400392767/1089.75292107715,10.92097,10.653652,10.850811,11.032564,10.861668,10.987339
530.270603648403/708.113875052407,7.70963,7.7003,7.861046,8.407113,8.858763,7.863938
613.483123243901/730.258294563711,7.83291,8.089407,8.160956,7.715194,7.844357,7.66674
1026.12754098993/929.447122055778,7.294662,7.620887,7.649468,7.841638,7.93092,7.718902
31.2041405794913/1131.23330725691,9.80367,9.845808,10.043364,10.572888,9.917363,9.45715
546.852349532278/849.199196708158,7.962525,8.81887,8.893601,8.496877,8.093125,8.848709
31.2803505680017/1036.74330925471,10.722651,10.246335,10.977098,10.000686,10.66769,9.851227
524.876910293311/634.136490272501,7.368009,7.539462,7.34282,7.692999,7.483432,7.624606
540.303246749075/805.193261642101,8.359528,7.905473,8.570026,7.841638,8.245539,8.301851
561.519335295025/680.019769305628,9.552836,9.590379,9.589697,9.44305,9.700216,9.658087
551.459350585938/801.281561785829,8.873079,9.448186,9.187021,8.985102,9.134213,9.641814
30.9182982193796/999.774879058886,9.387059,9.173019,9.174807,9.318002,9.403932,9.69394
45.282666741756/386.060539079718,7.761573,8.14702,8.481443,8.443307,8.361621,7.92293
512.390648022033/389.064707105916,7.327235,7.892683,7.056343,7.205356,6.918971,7.27151
509.033723530016/547.192411571448,12.403302,11.41448,11.205257,10.602389,11.192027,11.171285
45.2369648448208/573.98768599105,10.281223,10.451564,10.084241,10.508691,10.3306,10.04106
585.671232524671/703.399632244545,7.654271,7.747146,7.792581,7.967166,7.88743,7.705586
392.886107863041/756.099900619135,7.802444,8.590052,8.606315,8.80585,8.582943,8.827522
559.800539250959/718.279244436149,7.781381,8.302337,8.168116,8.77451,7.867206,8.293878
488.644387763843/270.170884246927,8.845944,8.594232,8.342791,8.298803,7.858294,8.772166
556.681703801741/739.276679771078,12.321751,12.315872,12.29136,12.135338,12.352729,12.118967
534.623072574013/723.270973565752,9.378281,9.212502,9.179959,8.602816,8.852808,8.810958
352.809124862939/584.129867756978,8.495863,8.638354,8.54221,8.895344,8.354127,8.581164
674.092752021656/752.319627249672,8.464623,8.307306,8.57724,8.332809,8.588091,8.768248
959.455172354715/425.303874620312,9.98433,9.712458,9.453221,9.757611,9.652802,9.682664
422.510367945621/624.166594815556,8.022383,8.599899,8.157549,8.591109,8.41873,8.709327
371.816860265899/544.021946242846,8.214079,7.746403,8.102705,7.762937,7.67607,8.324219
689.844160113418/241.179698291799,8.174938,8.413115,8.087334,8.116389,8.252982,8.192624
643.667985882675/293.172129083719,10.42278,10.373968,10.031185,10.166329,10.299965,10.218716
606.586932265968/855.304738724448,9.599229,9.73774,9.355769,9.523698,9.881093,9.428097
31.284280710053/1180.69946292211,10.912526,10.356502,10.389882,10.624691,10.444563,10.121828
561.493255079838/530.089714365304,16.58904,16.589,16.52236,16.38743,16.35312,16.1395
565.124053419682/703.396487712829,7.654271,7.747146,7.792581,7.967166,7.88743,7.705586
585.153864274945/733.407843104052,7.118994,7.004837,7.367657,7.612511,7.872402,7.391002
358.860352097896/667.091858037851,8.809874,8.572721,8.536918,8.495544,8.543949,8.825408
558.384011787281/797.289435932098,12.626799,12.498112,12.593994,12.629278,12.66808,12.525856
31.180140712805/1090.2572089081,9.562244,9.802926,9.388567,8.802536,9.13789,9.394094
288.589649133515/409.055385574989,8.563175,8.445231,8.261633,8.739593,8.868153,8.89292
39.3008244832357/370.046821383874,8.958664,8.6424,9.178544,9.087727,9.382048,9.61694
610.630577756647/718.416984807077,12.344896,12.358067,12.259768,12.291563,12.148725,12.080929
533.714985094572/700.315938842653,12.353113,12.429479,12.349093,12.377649,12.232827,12.189349
31.2730523828875/1426.6866322758,9.70845,9.802746,9.825631,9.334997,9.844319,9.427916
549.337737501713/562.19844535013,8.689415,8.687927,8.521286,9.416378,8.889306,8.556089
558.35633395011/878.222402897392,8.505745,7.721564,7.840828,8.280314,7.790604,7.635767
582.804760313871/733.408025940029,7.118994,7.004837,7.367657,7.612511,7.872402,7.391002
974.573837547971/965.45575197743,8.206266,8.693547,9.075949,8.453701,8.614652,8.402339
592.135019402755/748.401257931951,7.825326,7.747146,7.742511,7.428017,7.166407,7.498269
31.2362105720922/1214.73543688668,9.559642,9.349167,9.27979,10.013425,9.573838,10.118287
570.224963807223/835.340174065758,7.59994,7.92306,8.160956,8.436644,8.256529,8.386108
708.404176946272/271.226429341291,14.04033,13.75706,13.81916,13.66006,13.48996,13.26181
353.201648912932/433.066328562995,8.202616,8.504933,8.068306,8.437792,8.708549,8.314133
842.538278680099/646.403400807663,6.618323,6.722186,6.567818,7.518201,7.354155,6.671172
31.2810702742192/1160.08245892795,9.646471,9.785781,9.655364,9.224697,9.579039,9.689304
172.522229378684/528.984798082991,7.615638,7.753715,7.936863,8.021613,8.109018,7.739268
621.526462488007/334.152506769467,9.047745,8.96028,8.845287,9.871573,9.248938,9.656704
31.2021930092259/1055.27829740043,10.899401,10.432314,11.129884,10.95729,10.735391,11.039435
352.818912439179/288.144514777409,7.022428,8.739962,8.852256,8.779871,9.017086,7.974965
397.242301539371/711.096246957317,7.700463,8.493314,8.168116,8.149366,8.752154,8.599528
519.650314598753/696.102648288721,7.888399,7.987048,7.109676,7.39676,8.156153,7.182705
31.252263219733/1674.62653715782,9.764328,9.038348,9.763531,9.074994,9.445114,9.218135
557.030685692503/852.212942572546,12.65182,12.535347,12.625405,12.54446,12.655487,12.408894
748.78124036287/106.04112356368,9.598054,10.329639,9.684819,10.122554,9.827148,9.729781
502.97661336263/464.16190622076,9.900868,10.878408,10.756099,10.940914,10.714804,10.234506
31.2361578021133/1091.42334154365,9.544747,9.543538,9.634015,9.413413,9.709025,9.84858
352.55879452354/739.078342920592,9.214322,8.932198,9.185852,9.012668,9.012116,8.411004
174.993666397898/527.978709037071,8.428311,8.220167,9.083542,8.476171,8.203784,8.502928
43.9680701807926/479.039748467243,8.140954,7.810223,8.126837,8.41574,8.759615,8.207524
655.704964621025/761.287954978101,7.354182,7.604618,7.64084,7.497273,7.888114,7.804362
1015.67065536767/728.442831885238,6.677725,6.530214,6.392679,7.38151,6.898509,7.71559
499.093630606668/488.166431840668,7.159921,7.044726,7.213177,7.358144,7.178594,7.613805
405.234402305201/358.197603811132,7.611423,7.569039,7.837287,7.635018,7.441614,7.750323
545.814982096354/666.118168239276,9.62422,9.059092,8.496826,8.934931,9.082041,9.270854
552.130487810101/871.193565510176,8.515973,8.493859,8.529212,9.375465,9.483365,8.828964
508.631332665159/650.10934291202,8.98499,9.055981,9.152899,9.163162,9.715967,9.473243
708.903758266516/583.258462323198,8.993938,8.513228,8.874371,8.880272,8.517355,8.707528
512.577405427632/187.133300307692,8.573654,8.708071,8.244613,8.999696,8.574411,8.301851
747.427896064624/296.226319508799,7.848667,8.049406,8.036759,8.082641,8.163321,7.961749
1036.31020207991/792.54903547037,7.05534,7.540088,7.416817,7.489134,7.524971,7.692266
569.691291139837/731.388895511248,7.312923,6.817977,8.049065,7.021658,7.017143,7.038865
603.247225577371/768.421473483355,7.017482,7.170248,6.795376,7.046747,6.723442,6.9264
704.894283896998/262.143394394382,7.499073,7.678444,7.961119,7.985116,8.370586,7.574887
31.1259473834121/1431.69381344955,9.206138,9.305553,9.280841,9.391443,9.617426,9.402703
44.4158594901102/452.101728340029,8.388026,8.018211,7.729083,8.124299,8.660463,8.143156
661.916857267681/771.318077914813,7.813801,7.949826,8.056801,8.443307,8.152872,7.896805
31.2357895499782/954.283107358264,9.326692,8.856944,9.806833,9.122014,9.287077,9.538372
881.396039996231/700.284796101772,11.17383,11.70577,11.61233,11.25916,10.95902,11.04773
31.186052489699/1328.7068910169,9.77741,9.618319,9.852416,9.840116,9.701459,9.515286
598.583284076891/426.300009161899,7.749936,8.011896,7.876232,8.141192,8.10701,7.78355
560.719981411047/703.397967144462,7.654271,7.747146,7.792581,7.967166,7.88743,7.705586
43.9898422642758/195.050427684975,8.23871,8.600168,7.979102,8.409677,8.054571,7.739268
532.219768858792/548.188132167922,11.655102,10.693148,10.647091,10.646841,10.649919,10.437801
526.502108925267/709.11114252139,8.038797,7.603185,7.9193,7.671097,7.639545,7.550122
50.4905615020217/316.825776216465,9.55379,9.188124,9.251961,9.424456,9.228083,9.524235
44.9948597288968/571.991203487588,11.245555,11.301087,11.029141,11.261742,11.240659,10.960063
40.5238068563896/939.284876271869,8.758613,8.290436,8.077371,8.197064,8.51063,8.164266
670.76602119312/362.177454065797,8.322252,8.638354,8.368918,8.18913,8.13549,8.483118
545.764860989755/851.201758600698,8.093057,7.87294,8.31194,8.169205,7.950174,8.294351
33.7270703566702/988.275613904018,9.452153,9.149008,9.180334,9.334069,9.006566,9.276094
924.361755371094/394.332049902185,6.392461,6.667351,6.757906,7.390806,6.576621,6.8667
714.246961091694/478.287397910167,7.303821,8.152064,7.452439,7.63597,7.877698,7.866644
699.47292716043/476.166087974578,9.459601,9.397316,9.182949,8.879836,9.197219,9.397159
547.46228134423/850.208708763289,7.994369,8.166723,7.96934,8.412944,7.967217,8.163372
31.2642453176933/1206.71137360997,10.789851,10.718647,10.416955,10.386181,10.396812,10.636189
58.4335087558679/532.697445753408,9.447705,9.427346,9.693222,9.685664,9.182786,9.162954
834.34466873972/447.132152004379,10.051393,9.955208,9.907178,10.303614,10.217541,9.891748
558.592967250891/690.150811337022,6.906961,7.091186,7.899078,7.236381,7.813569,7.346273
