,R1_15-1,R1_15-2,R2_15-1,R2_15-2,R3_15-1,R3_15-2,R4_15-1,R4_15-2,R1_20-1,R1_20-2,R2_20-1,R2_20-2,R3_20-1,R3_20-2,R4_20-1,R4_20-2,R1_25-1,R1_25-2,R2_25-1,R2_25-2,R3_25-1,R3_25-2,R4_25-1,R4_25-2,R1_30-1,R1_30-2,R2_30-1,R2_30-2,R3_30-1,R3_30-2,R4_30-1,R4_30-2,R1_35-1,R1_35-2,R2_35-1,R2_35-2,R3_35-1,R3_35-2,R4_35-1,R4_35-2,QC_1,QC_2,QC_3,QC_4,QC_5,QC_6
353.421268931606/595.155889936759,9.056899,9.392364,9.559661,9.183749,10.093561,9.762016,8.132838,8.671956,11.23352,11.113833,10.632665,11.237821,10.099745,10.755438,11.338271,10.532716,11.901693,12.5828,11.627556,12.207765,12.865158,12.293097,11.518129,11.729323,12.996744,12.619184,13.331798,13.129148,13.136347,12.531789,12.061251,12.14116,12.07669,12.630898,12.849466,13.109931,13.00215,12.964643,11.248006,11.738821,11.4891,11.931633,11.984267,11.864777,12.10068,11.359833
535.343662195038/701.327038109833,8.571476,7.981182,9.118515,8.455984,9.124724,9.261324,8.155076,8.909453,8.791701,8.864271,9.518338,9.622587,10.59157,10.002997,8.394344,9.176592,9.966676,9.506891,11.19298,11.008051,10.972227,10.801873,10.381988,10.367306,9.742292,9.857761,11.309653,11.28014,11.52053,11.401802,11.885193,11.948284,11.213798,11.314229,10.985513,10.981153,10.835799,10.995334,12.270747,12.128419,10.597232,10.447981,10.633022,10.439578,10.341357,10.545434
390.015771698533/708.097707119644,8.946636,9.749954,9.342262,9.279712,9.45403,9.812411,9.076388,9.712216,10.751259,11.211266,10.48408,11.138706,11.443583,11.1652,11.390307,11.570187,11.953142,12.424653,12.030833,12.33697,13.540501,13.291374,12.051578,11.687419,13.270123,12.849595,13.58723,13.378017,13.569484,13.594736,12.346688,12.613655,12.599012,12.86363,13.636487,13.885118,13.606134,13.647115,11.829553,12.418315,11.844789,12.028804,12.289223,12.205382,12.603258,12.423486
674.65281275699/328.189768815689,9.707857,11.336421,10.53227,10.805271,9.61191,11.451567,8.286115,11.08062,13.254532,12.976987,10.692452,12.748298,9.246628,10.885929,13.557683,13.668983,11.192744,13.259003,11.590345,13.477876,12.268506,12.815525,13.276665,12.775795,13.293033,13.167575,13.018398,13.012831,12.644045,12.031055,12.339984,12.356145,10.711729,13.481399,11.20699,12.831604,12.208507,12.194184,10.572479,13.138848,10.362047,12.738455,12.254252,13.100501,13.075631,11.806767
561.847792240611/529.219429143175,9.028097,8.470979,8.836373,8.2168,9.530482,8.461628,8.944681,8.457941,9.367314,9.104533,9.755828,9.026895,9.821888,9.087982,8.862381,9.129738,10.748036,9.949153,9.610333,9.372116,9.523755,8.890996,9.759872,10.220483,9.806893,9.345338,9.755683,10.418601,10.565203,9.975309,10.784853,10.155395,11.508028,10.220286,11.24779,9.816,10.718594,10.495664,12.22276,10.239499,10.811164,9.99123,9.938253,8.714524,9.288953,9.514817
550.249580249452/720.269322852002,8.451183,8.284569,8.731677,9.0003,9.149177,9.365898,9.135426,8.972463,9.958734,9.829305,10.729628,10.585006,10.872588,10.766142,10.978927,11.33182,11.092883,11.034917,11.241885,11.177283,12.147825,12.009992,12.117561,11.810214,12.137753,11.84951,12.189455,12.196883,12.214298,12.150914,12.002201,12.04271,11.359864,11.375249,12.272156,11.938332,12.801211,12.849631,12.180025,12.060957,11.375801,11.4492,11.399028,11.298297,11.16395,11.529886
500.626736289576/595.146701960731,10.652127,9.981167,9.449902,9.192945,10.482784,9.672518,9.888095,8.945091,9.173703,8.667472,9.184115,8.565348,8.760159,8.19098,8.353239,8.057956,9.650903,9.198795,8.251365,8.191856,9.319747,9.287449,8.684776,8.714158,11.889209,11.859628,10.342439,10.641678,11.564816,11.547247,10.957981,10.926119,10.621853,10.426133,12.144264,12.092582,12.85732,12.963325,11.832188,11.928476,10.932038,10.49949,10.637637,10.793705,10.982371,10.859949
981.914701762952/535.312296754669,8.485604,8.535109,8.65281,8.263342,9.254359,8.992139,8.643589,8.459654,8.160119,8.120844,7.795085,7.665361,7.992035,8.68441,8.803371,9.346516,9.87145,10.00645,9.677917,9.59919,11.069394,11.095414,10.702168,10.792101,11.478978,11.333174,11.330743,11.310275,11.54806,11.158224,11.104444,11.322809,11.787649,11.611278,13.193051,12.91394,12.799564,12.748017,12.160721,12.019119,11.138687,10.922301,10.818722,10.857129,10.787449,11.1067
978.041113067092/863.431253876509,8.638873,8.492674,8.417181,8.168706,8.898217,8.973523,8.414171,8.625017,7.746354,8.052714,8.209079,7.990927,8.171661,7.998133,8.188392,8.507802,9.673803,9.564614,9.180048,9.093176,10.715582,10.264562,10.45047,10.099144,10.974652,11.21061,10.884368,10.700721,10.960125,11.049098,10.644768,10.460097,11.463009,11.301229,13.169876,12.809268,12.409905,12.503964,12.160364,11.764188,10.579926,10.556152,10.625149,10.680602,10.338479,10.633324
367.234438176741/552.071617760325,10.412797,10.596503,8.258612,8.118954,9.995824,9.846285,11.074038,10.562661,13.815162,13.39809,7.317453,7.701429,11.150038,11.083524,10.267886,9.996899,12.874146,12.933623,9.050789,9.208665,9.938499,9.373703,10.705371,10.685321,11.934787,11.52013,8.013664,8.120841,10.243316,9.913224,9.777729,9.717448,13.169035,13.160858,6.614084,7.091465,8.7438,8.833202,9.131098,9.644053,10.493424,10.639976,10.411066,10.58242,10.446797,10.19763
663.50606710869/281.175140355786,9.511137,9.246759,9.316765,9.054239,11.623777,10.982857,10.66439,10.255894,10.977881,10.352458,11.618175,11.334065,10.898363,10.420239,12.147061,11.878723,12.513563,11.929265,11.157839,10.94262,11.084312,10.863977,12.145639,11.80352,12.273372,11.874808,11.414129,11.147248,10.942353,10.678381,11.695673,11.272818,11.410263,11.041204,11.562076,11.129948,11.331495,11.25546,12.109432,11.580705,11.37945,11.125946,11.202588,11.127483,10.833886,10.717228
485.653597112288/679.081589194287,7.785614,8.403866,8.477922,8.330455,8.08726,8.637476,7.539723,8.36889,7.364498,7.71121,6.840007,7.08953,7.578104,7.256622,6.941036,7.351714,9.143516,9.059397,7.465512,8.886938,8.750521,9.515793,8.814361,9.155021,11.921539,12.155857,10.54464,10.179311,11.506713,11.787207,11.047577,11.320658,10.642776,10.823392,11.902173,12.323063,12.778825,13.016485,11.798931,12.259849,10.808382,10.971406,10.703634,11.388371,11.413768,11.284071
634.35773133395/622.378693551806,11.669942,10.720014,11.381294,11.53666,10.724321,11.068677,12.197758,11.385948,10.262582,10.240394,9.919105,10.229428,9.452446,8.251806,10.15108,10.185387,8.691692,9.184566,9.414703,9.437926,8.158066,8.198388,9.941935,9.483635,8.752434,9.00995,8.823978,8.9014,8.403883,9.359807,10.698707,10.370578,9.9721,9.514816,9.50014,9.457632,8.892855,9.134235,12.090325,11.661253,9.342103,9.313371,9.410761,9.307402,9.580417,9.520121
563.311142235471/675.151760325162,8.61412,9.843178,8.401975,8.570671,9.897225,9.152328,9.445268,9.163397,10.257164,10.256123,9.552909,9.758161,10.291287,10.16403,10.838438,10.872778,10.911356,11.560714,10.709946,10.638809,11.628564,11.281684,11.258875,11.042819,11.076186,10.973295,11.394374,11.61509,12.024412,11.314762,11.975403,11.980229,11.593425,11.90577,11.752038,11.742157,11.554672,11.823976,12.079377,11.949138,11.109374,11.328537,11.256909,11.051195,11.17715,11.537331
475.072629158957/579.168964806994,8.077373,8.255731,8.123263,8.144045,8.594213,8.4881,8.0886,8.36889,7.623874,7.345576,7.300965,7.414412,7.151548,7.256622,7.032848,7.351714,8.157839,8.756101,7.589378,7.762119,8.856402,9.480359,8.828578,8.405924,11.754304,11.85373,10.145318,10.049993,11.15349,11.392639,10.422724,10.347373,9.521923,10.094583,11.0047,11.742306,12.755818,13.039949,11.129501,11.941955,9.521923,10.237117,10.417233,10.705601,11.208986,10.161074
558.422109503495/883.217580804262,7.73499,7.931034,8.192524,8.533986,8.86907,8.321452,7.915321,8.223354,9.845275,10.274855,10.087174,10.493248,10.955377,10.576993,9.847414,10.089672,11.241679,11.184351,11.702109,11.815096,12.276115,12.447164,11.169547,11.093428,11.926526,11.981435,12.420231,12.633283,12.916198,12.94903,11.883817,11.865596,11.830945,11.785355,10.257643,10.377401,12.754009,12.80308,12.070421,12.085231,10.701348,10.94538,10.939178,10.832031,10.874944,10.926513
597.490963584498/698.398215537727,7.4195,7.981182,7.720367,8.040953,8.11235,8.53963,7.79793,7.68708,7.72948,7.732583,8.873459,8.449026,8.376294,9.020868,9.615957,9.567828,9.017148,9.324069,9.212533,9.395711,9.319808,9.480782,10.883374,11.128499,11.047118,10.734335,10.680919,10.548459,10.292441,10.050249,12.064856,11.995653,11.438296,11.200029,11.190884,11.051395,10.504059,10.671191,13.571112,13.548246,11.051395,11.099244,10.854189,10.909911,10.703793,10.734073
44.1055964419716/382.067945854583,8.682506,8.766432,10.610365,10.671448,9.048775,9.010517,10.258844,10.283217,9.870069,9.746055,10.49559,10.384983,10.381814,10.574258,11.215463,11.024909,11.670532,11.214881,10.932494,10.843723,12.116202,12.088028,11.796761,11.709351,12.369483,12.075448,11.940951,11.952607,11.941938,11.839353,11.786155,11.491716,11.717423,11.486521,12.674401,12.120601,12.658343,12.764659,12.055352,11.615487,11.486165,11.369694,11.516358,11.179965,10.806702,11.271712
174.602140593947/383.058035185274,8.497476,7.712002,8.807227,9.263334,8.913965,8.935556,8.604992,8.422903,10.159271,9.76404,10.156323,9.919977,10.125721,9.943904,10.924832,11.097916,11.64148,11.375172,10.535631,10.485644,12.274096,12.276589,11.804841,11.627799,12.442216,11.937755,11.979,11.618993,11.669205,11.445271,11.77565,11.439321,11.625231,11.518136,12.395846,12.047796,12.576535,12.464124,12.042549,11.667977,11.494016,11.432131,11.499771,11.295393,11.101262,11.236707
329.718965764631/566.071060841726,13.322936,13.669752,10.405185,10.352141,12.256565,12.267274,12.741796,13.037442,14.994186,14.480629,9.30482,9.860179,11.649268,11.936025,11.418401,11.542484,12.525536,13.065363,10.340628,10.187144,10.274367,10.109443,10.212413,10.011487,11.120107,10.959981,8.064599,7.855806,9.735428,9.308575,9.015879,8.567087,12.147641,12.790317,6.515246,7.068384,7.625704,7.552311,7.701442,8.293535,10.291274,11.014492,10.895549,10.951179,10.886585,10.624662
390.602931507847/680.103540177103,9.137069,9.514042,9.430155,9.285675,10.26766,10.261322,9.261895,8.816344,11.407013,10.749249,11.033836,10.871786,11.761811,11.48787,11.080163,10.958652,12.291801,12.089815,12.292963,12.006396,13.101371,12.963474,11.686517,11.768382,12.82427,12.658937,13.194419,12.95854,13.160851,13.062775,12.292843,12.19493,12.711997,12.555071,13.437521,13.153907,13.127795,13.096011,12.017964,12.059858,12.059762,12.048272,11.874627,12.048066,12.342568,11.992019
603.122435452645/719.418213672477,7.834522,8.041302,8.075169,7.900779,8.113046,8.589382,7.244282,7.857,7.153007,7.707045,7.756616,8.099611,7.953696,7.976487,7.921307,8.597439,8.111046,7.934998,7.63507,8.178692,8.224419,7.933751,9.628092,9.829278,9.449443,9.266789,8.695516,9.1715,9.07626,9.182603,10.758675,10.199628,9.788129,9.85692,9.672052,9.571761,8.912095,9.082523,11.871143,12.000047,9.266789,9.280119,9.589037,9.430507,9.324253,9.327193
1016.85172418962/615.442577437148,8.870132,8.591294,8.110156,8.57146,8.839323,9.290306,8.457239,8.189569,7.992508,7.911902,7.678184,7.770967,7.90516,8.976475,7.984706,8.489187,9.777894,9.76159,9.50867,9.780991,11.08248,11.060052,9.805776,9.820775,11.276758,10.830658,10.827748,10.738541,11.413591,11.445807,9.912826,10.004,11.11706,11.022144,12.754278,12.552824,12.540012,12.612574,11.565959,11.465672,10.133735,10.41453,10.27534,9.927329,9.846206,10.263548
45.4477369743481/571.988053861547,8.213026,8.774746,8.485365,8.09342,8.940861,8.539259,8.614772,8.468095,9.853243,9.677613,10.099545,9.849741,9.707761,9.314756,10.614953,10.707293,11.095338,11.32363,10.381555,10.096996,11.660541,11.729392,11.718131,11.440916,11.938042,12.167439,11.782942,11.878012,11.871193,12.063762,11.128874,11.219287,11.289981,11.689613,12.096922,11.988315,12.336043,12.574836,11.844949,11.69546,11.245555,11.301087,11.029141,11.261742,11.240659,10.960063
31.2922630979304/910.805864162345,14.31803,14.18178,14.81677,14.46969,13.06531,13.13491,14.86457,14.31894,13.79333,13.55498,13.94384,13.82543,14.21706,13.86969,13.56358,13.68039,13.33868,13.23684,13.21554,13.22023,12.86996,13.05051,12.94402,12.86918,11.67431,11.81639,12.4137,12.54358,11.91566,12.1932,12.16939,12.3989,12.48578,12.20818,12.13473,11.83257,11.39359,11.28559,11.76423,11.69392,13.28324,13.09899,13.25519,13.37734,13.20448,13.3591
558.175139310067/853.223445484074,7.949997,8.835973,8.321805,8.2168,9.137002,8.794201,8.142371,8.471367,10.428592,10.46581,10.891424,11.002324,11.180544,11.172971,10.193163,10.697626,11.39877,11.496888,11.968717,11.665997,12.066471,12.098154,11.391571,11.173291,11.738965,11.724963,12.297402,12.318022,12.566132,12.452763,11.782708,11.860311,11.733554,11.656763,10.466613,10.533756,12.17649,12.265872,11.824088,11.703477,11.509552,11.181789,11.24214,11.19856,11.050986,11.188619
359.879849082545/548.150685340856,11.96527,10.31979,10.51482,10.42386,11.98755,10.98634,11.46429,10.38287,12.71141,12.50022,14.14599,12.9391,13.60683,12.54569,12.53601,12.28022,15.25106,14.13493,14.3524,13.34289,14.26691,13.79754,13.11576,13.18567,14.39975,14.24986,14.58387,14.48434,14.3499,14.28818,13.7608,13.5081,15.25707,14.0826,15.64599,14.70921,14.87677,14.76803,14.36638,13.39776,14.66532,13.60598,13.68117,13.27344,13.31526,13.49553
564.66240919682/575.217859319989,9.147114,9.084792,8.892956,9.128003,9.322366,9.428517,8.630302,9.396717,9.990403,9.684018,9.048347,9.800959,10.039962,9.712411,10.590266,10.09274,10.407473,10.729838,10.460344,10.110021,11.213877,10.590667,11.027885,10.965895,10.864332,10.332136,11.063595,11.24188,11.843655,11.380624,11.769325,11.750907,11.243048,11.389505,11.421259,10.966406,11.315768,11.653575,11.80384,11.882071,10.340266,11.065583,10.943423,10.429028,10.591869,10.549087
663.757226776658/292.161713154321,11.330154,10.803372,9.980416,9.842698,11.207245,10.935552,11.299818,10.724857,11.625091,11.352303,11.492436,11.652933,10.875856,10.782718,12.333185,12.047333,11.787338,11.625767,11.272204,11.078124,11.150679,10.719697,11.47081,11.352818,11.357628,11.242644,11.609336,11.477849,11.385221,11.156922,11.350617,10.990341,11.591893,11.475647,11.986213,11.805148,12.024373,11.917523,11.746241,11.36735,11.385221,11.558385,11.439913,11.017009,11.129025,10.915468
669.357652095326/284.192993543515,10.458994,10.280005,10.174115,9.832947,10.614599,10.712358,9.757024,10.231378,12.225795,11.841417,11.865507,11.710409,10.65285,10.211959,12.160216,12.23238,12.778067,12.245582,11.776173,11.803036,11.228231,11.332453,11.886441,11.798762,11.777105,11.735947,11.833888,11.843881,11.274725,11.064813,11.217666,11.061409,11.832846,11.514885,11.874234,11.860747,11.39943,11.295768,11.715484,11.71465,11.424043,11.410725,11.185849,11.608427,11.559289,11.29902
751.348562140214/298.179661475253,9.520071,9.887848,9.404143,8.94794,10.21044,9.896558,9.275875,9.746555,11.009645,10.839966,11.167883,10.988287,9.585994,9.890216,10.733506,10.678667,11.717102,11.646373,10.349753,10.211102,10.578547,10.498115,10.643661,10.731106,11.442969,11.424519,10.281782,9.876752,10.933759,10.307882,10.752356,10.682832,10.815937,10.432389,10.457018,10.3333,10.707663,10.69649,11.691507,11.293602,11.85381,11.852478,11.69854,11.624913,11.576643,11.338531
393.080633330763/625.163846102471,9.046557,8.997239,8.731677,8.863731,9.950898,9.662398,9.276662,8.830332,10.447092,10.294091,10.881652,10.785303,11.064524,10.998727,10.429549,10.264448,11.689477,11.507643,11.57059,11.513187,12.344175,12.320418,11.088058,11.244455,11.961229,11.979036,12.237306,12.348941,12.468844,12.271826,11.372416,11.590449,12.043642,11.788773,12.524047,12.432053,12.353638,12.265548,11.321153,11.183663,11.331543,11.30225,11.33041,11.307256,11.444947,11.199502
549.92726536801/722.271567951056,7.900596,8.147328,8.440448,7.643628,8.968606,8.954664,8.762345,8.477141,9.825797,9.836088,10.195604,10.200138,10.483421,10.377034,10.522591,10.598501,10.564893,10.305644,10.706367,10.348473,11.645627,11.665417,11.628661,11.376181,11.241339,11.292006,11.677349,11.599066,11.575159,11.51657,11.445476,11.373968,10.725805,10.761675,11.764143,11.532743,12.330098,12.243608,11.447686,11.397364,11.010511,10.838593,10.698879,10.779851,10.952658,10.620761
556.738597133703/772.261774515629,7.851734,7.918448,8.236918,8.168706,8.141959,9.393235,8.443026,8.822922,10.138365,10.465277,10.400781,10.766142,10.577943,11.007032,9.675762,10.629661,11.153959,10.952634,11.459746,11.284093,11.667827,11.815343,10.927899,10.649227,11.230517,11.015227,11.945789,11.678874,12.128914,11.890332,11.422114,11.113705,11.169923,11.11271,10.202369,9.541028,11.843321,11.816386,11.630114,11.189677,10.80971,10.899048,10.790769,10.662535,10.789228,10.696833
359.533984267921/550.155227823092,9.46357,8.94968,9.029378,8.286061,9.940858,8.729106,8.935372,7.984753,9.938453,10.230953,10.875676,10.131274,10.937902,10.011807,9.588313,9.977116,12.045843,10.852653,10.914706,10.348605,11.157018,10.768473,9.880493,10.010504,11.227959,11.179876,11.502371,11.361292,11.152353,11.264689,10.600362,10.449283,12.20983,11.283382,12.656984,11.673742,11.897918,11.727346,11.406728,10.191899,11.649626,10.544068,10.815139,10.245533,10.163988,10.679792
371.119932475843/541.019925575353,12.93969,11.969332,10.031717,9.792226,12.580901,11.155152,12.284556,11.831715,13.022013,12.608045,10.404878,9.8967,13.565044,12.975887,11.387555,11.191043,12.861623,12.367437,11.357508,11.329078,11.835656,11.429508,11.066484,10.709041,11.130928,10.846979,9.8758,9.816476,11.783503,11.301992,10.55606,10.355829,12.217634,11.8023,9.783905,9.434285,10.591851,10.574522,10.632337,10.080149,11.183909,10.876489,10.762558,10.998811,10.493951,10.643935
374.024439226117/505.077326926048,10.056628,9.596504,8.65195,8.197484,9.770057,9.081775,10.55751,9.441946,12.082813,11.911767,7.572255,7.669671,10.779455,9.930668,8.947494,8.977284,12.388554,11.180948,8.200657,8.64827,7.984164,7.966041,9.296534,9.068173,9.754043,9.767362,6.809054,6.857973,8.277056,8.187009,8.403993,8.280332,12.589345,11.083637,6.256981,6.26405,7.216013,7.491765,8.673381,7.673593,9.938052,9.00248,8.981246,8.98096,9.277326,9.364738
648.708021732799/450.260013622352,8.764805,9.309223,9.987419,9.703048,11.031279,10.47436,10.348239,10.122308,9.108542,9.406238,11.336352,11.105575,11.140996,10.95343,11.425426,10.895152,11.037368,10.73889,11.393777,11.34703,11.992528,11.717917,9.934528,10.31094,12.094104,11.965711,13.245775,12.863728,13.063803,12.859846,11.115385,11.117816,12.098372,11.784106,14.115311,13.707968,14.32084,14.304325,12.825212,12.705088,12.255872,12.302946,12.074237,12.199194,12.197599,11.910066
33.4585615124619/978.788579159421,14.28228,14.00355,14.50796,14.30623,13.08517,12.49335,14.66161,14.37467,13.64172,13.63827,13.76588,13.67066,14.00214,13.80998,13.34526,13.25373,13.17821,12.95243,12.78332,13.16936,12.64565,12.79584,12.43255,12.5623,11.65257,11.49813,12.21686,12.44008,11.77673,11.88596,11.90496,11.94542,12.11857,12.06994,11.72501,11.77345,11.01313,11.08372,11.54465,11.51203,13.1891,13.02083,13.18995,13.13934,13.12862,13.22757
556.439545748527/770.266931605603,7.38708,7.918448,8.39031,8.589839,9.009247,9.028664,8.369778,8.985975,10.000202,10.088042,10.626784,10.561228,10.794623,10.683767,9.401862,9.884172,11.125708,11.032539,11.340077,11.265879,11.637801,11.585631,10.931701,10.870244,11.262082,11.119824,11.834827,11.557117,12.15177,11.689879,11.279529,11.104962,11.120538,11.134562,10.028042,10.07044,11.661567,11.588079,11.542032,11.16919,10.727093,10.727417,10.590267,10.334173,10.520699,10.770767
533.20647550884/610.158850816656,9.41143,8.656006,8.746124,8.83291,9.66598,8.876662,8.815809,8.561533,8.000978,8.168672,8.485051,7.837308,7.812716,7.976487,7.751513,7.603402,8.22621,8.425781,7.968784,7.338197,8.802585,8.752002,7.773737,8.109404,10.588033,10.73187,9.29755,9.992166,10.936558,10.729183,10.476512,10.253131,8.893127,9.027629,11.429535,10.925066,12.218756,11.909604,10.981359,10.462227,9.971255,9.446141,10.374079,9.864143,10.100416,9.729028
353.522251062226/595.158392106735,9.056899,9.392364,9.559661,9.183749,10.093561,9.762016,8.132838,8.671956,11.23352,11.113833,10.632665,11.237821,10.099745,10.755438,11.338271,10.532716,11.901693,12.5828,11.627556,12.207765,12.865158,12.293097,11.518129,11.729323,12.996744,12.619184,13.331798,13.129148,13.136347,12.531789,12.061251,12.14116,12.07669,12.630898,12.849466,13.109931,13.00215,12.964643,11.248006,11.738821,11.4891,11.931633,11.984267,11.864777,12.10068,11.359833
354.909672787315/596.154518201321,8.240471,9.380776,8.496301,8.308429,8.884948,9.625597,8.440185,8.494419,10.64889,10.521929,9.505418,10.446364,9.78665,9.865773,10.185416,10.22017,11.041807,11.683124,10.807599,11.544362,11.851229,11.596373,11.047657,10.668811,12.214104,11.736131,12.332288,12.228604,12.339939,11.712816,11.004486,11.108915,11.347708,12.031301,12.015684,12.204417,12.185835,12.164139,10.02664,10.839957,10.459074,11.238087,11.167568,11.193267,11.220076,10.800309
558.645246003803/798.287204855404,8.077373,8.357324,7.807242,8.57146,8.66547,9.649249,9.042243,8.641259,9.946189,10.109784,10.389717,10.650202,10.849355,10.862603,10.11647,10.04449,10.927192,11.101335,11.278941,11.399866,11.871139,11.733404,10.923844,10.769846,11.330764,11.183564,11.889961,11.927368,12.198403,12.221845,11.442827,11.350613,11.193212,11.284443,10.085111,10.219989,12.003471,12.050289,11.471142,11.511135,10.847976,10.651083,10.517066,10.794312,10.75086,10.882444
575.521854869106/702.394732862309,7.482233,7.233977,7.19256,7.456009,7.926798,8.379167,7.177172,7.494443,7.10148,7.037474,7.457927,6.916214,6.791405,7.378606,8.336464,8.063257,6.986572,7.649096,7.218905,7.639839,7.679327,7.797782,9.583122,9.526064,8.338369,8.394688,8.29278,8.288183,7.875525,8.168014,10.551797,10.393525,7.980718,8.47781,8.049894,8.135289,7.425179,7.725736,11.462517,11.299858,9.018632,8.948947,8.626086,8.481091,8.862749,8.861541
53.0298597770825/176.935317774148,10.208384,9.727402,17.993945,17.572085,8.777923,8.261332,15.913417,14.388545,13.808452,13.02191,16.088316,15.502326,17.786057,17.335578,14.933035,14.191429,16.603258,15.970015,17.251043,16.784406,16.896761,16.783195,16.571112,16.511948,15.360974,14.94347,14.479401,14.183828,13.388875,12.773733,16.126079,15.968805,16.201946,15.41273,15.342839,14.429204,11.829824,11.794761,15.3417,14.552459,16.648615,16.13663,15.999069,15.99062,15.713106,15.580705
671.73084566886/284.195832241547,10.458994,10.280005,10.174115,9.832947,10.614599,10.712358,9.757024,10.231378,12.225795,11.841417,11.865507,11.710409,10.65285,10.211959,12.160216,12.23238,12.778067,12.245582,11.776173,11.803036,11.228231,11.332453,11.886441,11.798762,11.777105,11.735947,11.833888,11.843881,11.274725,11.064813,11.217666,11.061409,11.832846,11.514885,11.874234,11.860747,11.39943,11.295768,11.715484,11.71465,11.424043,11.410725,11.185849,11.608427,11.559289,11.29902
359.600878799171/550.155214717263,9.46357,8.94968,9.029378,8.286061,9.940858,8.729106,8.935372,7.984753,9.938453,10.230953,10.875676,10.131274,10.937902,10.011807,9.588313,9.977116,12.045843,10.852653,10.914706,10.348605,11.157018,10.768473,9.880493,10.010504,11.227959,11.179876,11.502371,11.361292,11.152353,11.264689,10.600362,10.449283,12.20983,11.283382,12.656984,11.673742,11.897918,11.727346,11.406728,10.191899,11.649626,10.544068,10.815139,10.245533,10.163988,10.679792
542.580209832442/896.212928288251,9.015079,8.905627,9.164356,8.625908,9.900799,10.928342,9.227288,9.468418,10.161879,10.091939,10.436403,10.400598,11.16842,11.221859,10.841026,11.095844,10.627956,10.647909,10.31945,10.742929,12.561352,12.481877,10.997903,10.750073,12.045663,12.131459,11.413627,11.334661,12.64665,12.749467,10.850611,11.026339,10.840173,11.269286,9.71512,10.146611,12.075704,12.129676,10.85804,10.931975,10.294901,10.727086,10.596028,10.831495,10.848889,10.790737
559.596545838473/884.22073916126,9.451176,9.635651,8.906762,9.915355,8.611915,9.836017,8.953849,9.31155,9.776374,9.845879,9.416804,9.525278,9.861383,10.132646,9.566594,9.860342,10.201627,10.675131,10.80193,11.116017,11.614415,11.408827,10.457356,10.363631,11.113483,11.279314,11.672891,11.86298,12.220122,12.261124,11.056803,11.217209,10.967036,11.096477,9.502622,9.612244,11.807806,12.033733,11.377921,11.378692,10.060697,10.237724,10.418957,9.977655,10.560311,10.416549
522.452718098958/560.205785290605,9.069034,9.834947,8.807227,9.373516,9.940858,9.852122,9.30837,9.99073,11.398928,11.157927,9.61287,10.823675,10.223693,10.645999,11.268013,11.398387,11.422587,12.045033,11.018736,11.797167,11.585478,11.538259,12.001146,11.529095,12.203982,12.032914,12.394778,12.13044,12.308559,11.942711,12.647418,12.48475,12.377222,13.02387,12.417003,12.659102,12.370932,12.491819,12.691491,13.278216,11.310479,11.948204,11.901289,11.820178,11.877485,11.600181
553.66733055784/642.207441762079,9.016171,8.259478,8.294468,8.263342,8.611915,8.61363,10.168986,9.122619,8.659211,7.794866,8.843518,8.688314,8.823952,8.676655,8.037557,8.235484,10.254049,9.142491,9.178676,8.103943,8.953853,8.850893,7.80476,8.060088,8.756832,8.01507,8.815525,8.730262,9.171184,8.604111,9.155372,8.420665,10.359985,8.738601,10.385271,9.328324,8.957229,8.703047,11.348158,9.197783,9.634991,9.447751,8.699722,8.845645,8.769237,8.444807
390.438509757059/709.098369965841,7.881827,8.819802,8.639741,8.900765,8.161259,8.745192,7.807194,8.649656,9.120597,10.152893,9.159459,9.729072,9.618645,9.998,10.278352,9.602788,10.343898,10.826702,10.629003,10.816622,11.864963,11.798922,10.289527,10.467906,11.530968,11.196468,11.824597,11.634014,11.916486,11.977641,10.669438,10.913361,10.839054,11.317391,11.864315,12.160124,12.028533,11.823527,10.278522,10.838019,9.898991,10.437812,10.704538,10.758019,10.656229,10.689105
625.247122781319/716.409587661715,9.834172,10.049749,10.374837,10.029309,11.29221,10.474917,10.495613,10.52926,11.726754,11.850137,13.253846,13.467442,12.983117,12.771374,14.400124,14.287764,14.561472,14.392222,14.305518,14.181752,14.448028,14.50283,16.174413,16.251784,16.020407,15.939172,15.849232,15.705616,15.353229,15.231378,17.066495,17.062992,16.363386,16.340408,16.246587,16.165822,15.746162,15.752695,17.98392,18.174886,16.109378,16.093587,16.109378,16.100617,15.999343,15.863285
44.7749126501251/384.061797279829,8.036152,8.30923,8.279986,8.625908,8.208564,8.83602,7.784827,8.424031,9.21058,9.694948,9.457,10.023334,9.605714,9.501564,10.458971,10.322438,10.882789,10.592289,10.126151,10.033204,11.301709,11.465172,11.140507,10.965596,11.742147,11.454857,11.21884,11.05765,11.328391,11.140338,11.00546,10.901972,10.84464,10.836933,11.935474,11.327105,11.782765,12.069618,11.31944,10.806192,10.727305,10.840055,10.946749,10.454887,10.608384,10.582657
503.036210980332/500.171333695146,9.715516,9.606488,9.436647,9.330448,10.009244,9.767479,9.331703,9.330915,8.642001,8.837587,8.50904,8.931415,8.444649,8.051773,8.037557,8.243059,9.707277,8.915971,8.621054,8.608675,7.286431,7.583436,7.948734,7.874986,9.189433,8.809738,8.570049,8.687322,9.214178,9.328402,9.314907,9.079871,11.07086,9.751605,10.831435,10.261845,10.01681,9.837589,11.309108,10.330195,9.671717,8.93447,8.533486,8.652184,9.108124,8.708328
