Sample,R1_15-1,R1_15-2,R2_15-1,R2_15-2,R3_15-1,R3_15-2,R4_15-1,R4_15-2,R1_20-1,R1_20-2,R2_20-1,R2_20-2,R3_20-1,R3_20-2,R4_20-1,R4_20-2,R1_25-1,R1_25-2,R2_25-1,R2_25-2,R3_25-1,R3_25-2,R4_25-1,R4_25-2,R1_30-1,R1_30-2,R2_30-1,R2_30-2,R3_30-1,R3_30-2,R4_30-1,R4_30-2,R1_35-1,R1_35-2,R2_35-1,R2_35-2,R3_35-1,R3_35-2,R4_35-1,R4_35-2,QC_1,QC_2,QC_3,QC_4,QC_5,QC_6
682.483777497944/293.174109824308,179.8339844,106.8342285,130,88.7845459,188.6555176,81,244.6270752,121.5462646,311,199.6193848,580.9663086,435,466,363,739.8569336,510,1748.114258,768.9155273,996.7441406,564,1057.87793,695.6635742,927,624.3852539,1590.171875,1134.791016,1654.876953,1046.479492,1685.407227,1220.251953,1706.064453,1009.100098,2474.916016,1326.733398,3879.878906,2195.167969,4979.878906,3787.988281,4983.433594,2046.666016,1372.679688,1105.634766,734.8427734,716.3798828,739.706543,493.6455078
546.499351099918/868.223608031584,663.9790039,221.62146,237.0716553,153.8394775,288.6462402,212.1036377,388.7807617,246.885498,360.0473633,292.6628418,612.3696289,422.8764648,1254.335938,754.1669922,787.1948242,994,1538.46582,792.8769531,837,740.0732422,3800.359375,2424.826172,1569.262695,1188.003906,3974.460938,2987.578125,1747,1505.432617,3409.958984,3106.279297,1836.078125,1521.455078,2158.539063,1560.131836,902.9785156,751.175293,4967.121094,3478.908203,3576.96875,1816.485352,1088.275391,998.2714844,862.3447266,824.9174805,586.1479492,758.1611328
31.274263381958/1300.70786050094,1622.712891,905.9741211,3464.078125,1865.983398,452.6352539,231.8778076,2703.296875,1317.646484,2457.1875,1587.75293,5056.980469,2796.306641,4910.039063,2581.785156,2829.388672,2017.641602,4737.125,1959.463867,4645.425781,1901.196289,3811.304688,2237.859375,3430.796875,3337.523438,3496.951172,2500.912109,2437.779297,2373.816406,1987.566406,2137.146484,3747.310547,2263.605469,4620.144531,2816.005859,3365.230469,2396.660156,2439.173828,1840.426758,6769.570313,2500.957031,4954.226563,3345.703125,3450.578125,2221.857422,2415.214844,2668.806641
972.51571708813/901.414719888699,89.26959229,63,64,85.40997314,94.09655762,68,77,71,104,68,94.45355225,62.29360962,90.8392334,154,103.8392334,125,526.3154297,342.1333008,287.0131836,222.1104736,835.6938477,808.4355469,645.7075195,564.8935547,2009.786133,1538.919922,990.25,993.1416016,1231.744141,1053,1237.572266,1140.46875,1781.076172,1465.237305,3499.292969,2382.013672,3378.337891,2447.685547,4931.128906,2197.914063,896.2324219,954.996582,664.2573242,574.1918945,585.1391602,522.8056641
610.249548125685/269.173269527482,279.7541504,165,166.4185791,195.8132324,207,134.4727783,298,213.1414795,873.890625,692.4799805,1559.722656,830.9414063,561.7788086,352,1708.192383,1061.398438,3600.595703,1718.984375,1349.985352,761.3867188,1094.864258,772.0874023,1548.905273,1469.267578,2520.246094,1498.748047,1203.963867,923.6621094,1340.557617,794.8994141,1775.660156,1185.098633,2344.931641,1109.832031,2060.599609,1150.685547,2092,1612.897461,4906.011719,1893.206055,1432.207031,1308,979,823.6386719,680.6259766,607.3046875
565.236177143298/789.201445724383,62,49,57,56,91.90136719,59,96,55,279,255,540.4584961,404.550293,719.7138672,376.8015137,330.0090332,198.1575928,1407.167969,797.4467773,1132.179688,713,1507.675781,1189,941.7231445,985.0307617,1785.59668,1198.319336,1626.371094,1529.669922,2400.482422,1897.848633,1540.324219,1309,1768.907227,1348.305664,879.4882813,465.2067871,3991.980469,3544.152344,4850.308594,2021.620117,1021.021484,887.2470703,582,559.3803711,497.6318359,519.7407227
606.060907731976/717.413253279842,75,94,155,77,165,128,176.7739258,208.6356201,618.8212891,474.4790039,2210.107422,1557.942383,1581.359375,1122.860352,4221.0625,3442.328125,13277.10938,6330.21875,5841.277344,4347.671875,8454.921875,6476.367188,27010.25,25299.26563,44554.3125,29977.79688,21228.79688,17250.23438,18950.39063,12707.4375,83395.25,59628.125,58030.96875,35603.1875,51985.46875,29491.6875,46617.78125,35962.40625,360938.5,204496.375,29335.39063,24382.4375,20343.17188,17220.79688,15586.21875,15055.8125
31.2702807376259/1054.76374747944,2875.326172,1165.833984,4470.6875,3118.384766,755.1958008,552.6992188,4772.527344,2426.28125,3113.953125,2083.875,5688.566406,3554.603516,7015.472656,3711.46875,3761.804688,2872.710938,7599.378906,3184.884766,4936.753906,3361.207031,4810.164063,3893.873047,4087.128906,4605.101563,4124.066406,3436.261719,3499.869141,2796.5625,2739.832031,2456.304688,4562.371094,4159.707031,6201.800781,3472,4715.003906,3054.617188,3614.4375,2399.445313,7957.335938,3782.105469,6197.292969,4724.117188,4241.742188,4145.054688,3350.910156,3988.519531
973.655037863213/909.423899601799,77.01452637,84.16784668,56,62,73,64.03198242,74,62,85,78,78.09893799,56,145.8983154,76.90106201,125,117.4033203,404.3569336,360.2751465,214,279.8027344,1274.992188,836.2553711,800.0864258,741,2328.976563,1702.849609,1300.22168,1075.65918,1554.691406,1088.860352,1584.981445,1127.74707,1934.47168,2055.822266,3811.810547,2752.341797,4704.367188,3700.46875,3858.138672,2830.734375,579.7758789,834.7749023,768.5322266,775.9941406,688.9321289,587.0649414
509.904477838884/546.184824807355,62,51,82.67883301,73,65,79.42645264,81,63,96.22625732,128,75,104.9310303,318.4997559,269,171.1679688,119,8360.96875,2052.722656,1488.245117,416.1975098,4023.361328,2404.085938,2345.490234,2433.5,37857.53125,23343.20313,8849.328125,5746.957031,29610.67188,19802.79688,24846.875,15264.42969,21894.8125,4350.410156,85632.125,24594.89063,173458,103315.9375,136790.75,34989.8125,27628.71875,11072.80469,9841.5,5955.007813,5682.324219,7565.019531
31.2950528462728/1062.75568316215,1110.617188,657.6689453,2850.037109,2254.431641,426.9938965,284.9680176,2470.851563,1067.692383,2303.505859,1735.336914,4403.03125,3204.177734,2920.615234,2771.789063,1971.319336,2331.009766,3449.128906,1157.474609,4702.753906,2390.228516,3253.777344,3113.498047,3261.871094,3380.431641,3276.693359,2389.314453,2531.814453,1915.790039,3028.873047,2081.402344,4678.578125,3737.462891,5482.289063,3186.599609,4255.324219,2421.78125,2050.052734,2062.619141,6108.285156,2239.355469,3514.556641,2326.912109,2078.765625,2182.564453,1382.053711,1877.989258
533.390300014563/666.108811126496,59.48513794,49,46,76,59,51,49,47,79,88,98,100,106,86.85852051,115,174,283,155.6685791,165.7945557,121,312,235.0522461,309.8393555,161,1268.280273,1097.183594,436.8078613,283.9265137,1021.657715,750.8896484,969.4858398,506,608.1513672,330.2392578,1616.77832,831.4082031,4656.625,2609.763672,3251.847656,1473.900391,789.184082,444.420166,253.6906738,305.1086426,318,375.8395996
572.804288094504/776.395370991634,46,51,76,43,134,62,48,45,69,49,68,72,61,75,134,121.6342163,134,61,70,93,174,114.145813,385,414.2844238,352,363.8937988,217,187.5682373,287.854248,126.4448853,1186.227539,953,113,78.75439453,310,218.2828369,244,252.0953369,4635.300781,3858.144531,197.3361816,262.0786133,336,187,244.8728027,187
528.850759405839/611.159623160711,100,76,60,66,97,70,133,63,78,65,82,109.2605591,118.6861572,67,73,64,267.5080566,247.6079102,84,91,257.519043,178.7677002,100.0918579,229,1787.395508,1022.75293,372.2282715,436.5424805,1084.629883,1018.05127,841.8725586,748.0341797,701.8618164,267,2210.322266,1126.151367,4582.882813,3086.017578,3362.859375,1675.977539,614,333.0344238,327.8408203,368.8869629,345.8095703,379.2258301
31.2342453672175/1258.72816584218,1734.174805,717.6611328,2118.212891,1748.973633,591.2973633,290.3322754,3308.779297,1875.612305,2147.693359,1136.78125,3044.841797,2254.636719,4312.1875,2658.015625,2404.927734,1934.668945,4692.960938,2230.283203,2677.798828,1455.191406,3207.945313,1905.926758,2688.794922,2198.808594,1982.459961,1622.882813,1622,1932.154297,1263.225586,1002.154785,2185.96875,2042.902344,2827.435547,1350.117188,2094.871094,1407.506836,1709.499023,1219.223633,4514.515625,1690.871094,3866.289063,2691.208984,2402.185547,2258.904297,2093.365234,2298.572266
489.576056764837/650.105997097976,104,59,80,65,82.68005371,57,74,89,109,81,79.83502197,99,108.4258423,82,101,108,296.3283691,184,116.7372437,130,293,169,175.0743408,134,1811.049805,1539.060547,343,318,686.8076172,890.6352539,855.0288086,666,540.9526367,483.5539551,1712.166016,1626.063477,4319.984375,4486.726563,4269.097656,2016.488281,506.6994629,443.4626465,399.763916,357.4038086,493.4672852,432.4418945
655.410734477796/1077.81611254359,7308.460938,4334.296875,3700.835938,2107.806641,1211.899414,1010.722656,19936.09375,11847.61719,3834.544922,2786.189453,1952.192383,2588.919922,1420.168945,484.1889648,9270.351563,5916.1875,5738.53125,4703.386719,3533.126953,2927.175781,938.3891602,514.2026367,5987.988281,5213.839844,3029.890625,3372.392578,4035.75,3361.980469,714.7373047,449.7944336,4997.566406,3111.300781,2847.902344,2826.783203,4431.84375,2911.689453,1275.261719,469.4619141,4474.535156,3839.855469,3730.724609,3817.033203,3690.550781,2369.150391,2759.626953,2566.162109
555.082261470326/835.20678444089,54,42,54.07824707,34,103,55,69,69.16503906,189.2127686,187,385.8425293,205.5137939,476,282.6381836,206.6442871,252.9620361,1218.546875,679.6889648,972,626.6235352,1126.429688,941.9897461,662.0991211,781.6767578,1354.220703,1180.144531,1585.772461,1370.490234,2022.319336,1414.27832,1428.09375,1052.941406,1578.390625,818.0654297,724.2817383,451.880127,3167.322266,2670.099609,4468.984375,1596.567383,793.0878906,639.5039063,537.3496094,487.8942871,515.4892578,528.3466797
520.997717606394/561.205792219075,93,107,71.52978516,86,78,88,108,119.6442261,233,272.7751465,122,190.9786377,213.0782471,218.5494385,274.8681641,293.7390137,1097.978516,667.7045898,501.8608398,482.6640625,681.1274414,586.5102539,788,580.9077148,1705.114258,1222,1378.588867,893,1225.793945,923,1897.032227,1188.179688,1716.847656,1638.541016,1839.507813,1229.674805,2382.974609,1916.023438,4446.550781,3053.791016,463.0603027,884,606.3598633,548.0834961,701.7104492,527.8393555
45.6753335584674/527.983224283784,55,41,66,51,56,44,115.7689819,81,229.9906006,201.0571289,333.1870117,253,275.3220215,139.37854,397,306.1228027,1417.030273,551.5058594,697,445.0151367,1280.267578,1069.246094,916.0244141,670,2332.953125,2255.685547,1466.092773,1098.114258,1507.329102,1142.481445,1369.226563,882.1489258,1643.703125,1173.670898,3119.853516,1819.392578,3871.994141,3925.167969,4443.734375,2183.470703,966,864.1293945,700.0532227,651.8691406,531,587.2666016
837.855881005003/352.28417549603,64,76,58,45,66,49,65.82818604,60.38024902,81.25488281,48,73.41448975,64.63983154,82.3270874,101,292.7304688,229.0130615,575.9462891,302,383,148.4197998,574.2895508,420.7573242,1097.452148,1071.058594,798.5673828,549.3710938,1379,1319,1321.754883,734,2024.308594,1486.958984,1579.642578,1046.758789,4442.957031,2169.275391,2683.005859,2022.172852,3090.958984,1521.680664,674.0180664,563.4907227,517,471.7370605,439.4899902,420.3083496
604.295204564145/1434.83973681843,63,51,66,51,61,49,61,65,51,52,73,60,60,55,61,47,60.32128906,52,47,61,65,58,62,47,100,72.10870361,64,48,43,52,158,108,116.8644409,127.6729736,74,90,99,67.99963379,4434.070313,2384.628906,47,64,53,60,49,60
613.107649953742/859.500268147771,59.5953064,66,58,67,78.90350342,76.30029297,1489.258789,938.4199219,68.34906006,55,63,76,157,113.2907715,3910.974609,2492.271484,50,45,130.0527344,125.4557495,99.55065918,58,3796.488281,2849.326172,61,87,171.4200439,192.2279053,88,116.5790405,4417.097656,3281.296875,61.77462769,57,194,123.3212891,85,83,3776.478516,1802.327148,587,535.7138672,351.7099609,389,355.0722656,525.6650391
562.249421772204/833.20346744409,53,37,65,59,58,48,59,56,316.0388184,235.5737305,499.5864258,274.496582,710,321.7773438,278.1650391,246.2623291,1392.634766,626.4536133,984,622.5166016,1297.944336,1136.790039,792.5083008,802.362793,1693.720703,1194.658203,1199.697266,1370.061523,2221.443359,1737.169922,1357.224609,1435.320313,1744.640625,972.4619141,826,364,3213.232422,2583.962891,4358.675781,1724.212891,904.0756836,725.5424805,568.0649414,526.3378906,372.8110352,475.1174316
391.546983150014/598.145734197863,76,63,77.68499756,83.61688232,93,51,93.5770874,60,327.7905273,204.467041,469.0507813,271.1982422,624.3876953,527.2929688,350.9291992,355,2357.164063,977,1267.101563,534.0351563,1898.936523,1294.740234,750.3476563,675,2441.892578,1640.97168,1869.960938,1799.459961,2880.970703,1584.955078,1866.365234,1291.003906,2732.888672,1477.682617,4152.152344,2092.951172,4351.742188,3614.021484,4312.460938,1578.356445,1208.577148,1009.245117,1036,876,612,533.1254883
513.8184006005/595.163814687791,468.5878906,144.7567139,242.7171631,138,456.8364258,128,272.0981445,105.5994873,229.7380371,99.69421387,316.2102051,137,328.5751953,164.3828125,164.0080566,104.6730957,1058.396484,439.1838379,242,143,592.8569336,439.8457031,351.4443359,332.0317383,5761.113281,4295.394531,1195.672852,1282.771484,3355.580078,2537.091797,2701.390625,1951.367188,2435.791016,1224.233398,6978.445313,4035.275391,14616.07031,11658.34375,11514.03125,5900.964844,1953.759766,1206.139648,1118.806641,1014.68457,1116.533203,1130.754883
666.217109546327/599.371729700664,65,81,38,43,63,43,40,42,66,80.11895752,175,137.2652588,78,75,463.4306641,355.5749512,1512.974609,837.109375,241.5255127,215.1416016,301.1018066,288.3547363,808.300293,795.4072266,3291.701172,2382.583984,328.2114258,354.7685547,282.6103516,279.4306641,796.6298828,541,677.0976563,442.9934082,1043.62793,537.3173828,1458.207031,1120.955078,4347.566406,2025.939453,364,279.9145508,198.9476318,139.083252,136.4125977,171
614.157451428865/256.167694953518,166.3126221,144.8670654,108.1884766,72.8213501,168.8212891,149.3549805,165.1226807,143,1139.175781,486.3925781,1153.796875,675.609375,329.7358398,194,1036.163086,629.9282227,4111.132813,1869.612305,1082.657227,551,685,469.9484863,1297.592773,946.3071289,2411.853516,1522.62207,1114.424805,813.5205078,800.7226563,497.5427246,1392.450195,937.6069336,3095.189453,1510.516602,1985.009766,905.3125,1439.34082,1086,4317.941406,1833.194336,1167.287109,1029.330078,773.6577148,700.7788086,556,676
716.106756913035/482.361948670978,120.4425659,44,27,36,48,57,42,33,1513.644531,779.5791016,129.1628418,175.9765625,75.4196167,80,43,34,4295.910156,2331.787109,345.1484375,185.2663574,1106.108398,927.3803711,81.92749023,76.28771973,2507.527344,1718.828125,813.7319336,742.1210938,2414.585938,1423.894531,120.8912354,105,1994.78418,1053.572266,557.546875,318.3928223,2152.439453,1537.519531,87,85,710.628418,548.5288086,480,422.609375,365.7092285,314.607666
557.466775459156/879.212949175744,71,41,47,48,77.18927002,66.65722656,56,48,279.6035156,288,378.9399414,219.0681152,361.7097168,451.4204102,237.7752686,302.2912598,991.3876953,771,1151.177734,752.4892578,1810.486328,1794.259766,1307.693359,782.6801758,2396.427734,2196.785156,2105.335938,2082.267578,2974.548828,2216.044922,2462.947266,1532.467773,1494.014648,1729.091797,647.8759766,597.5405273,4253.539063,3598.832031,3737.882813,2898.382813,675.246582,998.6455078,651.9384766,611.5224609,530.8945313,527.7973633
432.172301710698/530.158721433759,68,59,51,68,75,71,68,62,104,81,196,84,302.5319824,104.9498291,206,206,1763.949219,671.9072266,626.5585938,355.8791504,561,373.2126465,712.8662109,595.6665039,1788.850586,1296,896,704.2729492,1237.071289,1027.080078,1536.133789,958.7094727,1721.53125,916.3540039,3010.990234,1210.837891,2477.296875,2188.748047,4210.398438,1266.24707,1036.640625,592.2124023,659.640625,451,415.8205566,443.8286133
44.2802809330455/528.988141234052,77.95648193,77,138,136.7432861,79,80,120.2285767,108,205,127.3033447,412.578125,139,271.6447754,180.1075439,375.5644531,362,1222.020508,580.9633789,626,328.5441895,978.168457,874.6660156,1184.62793,903.6035156,2156.267578,2010.521484,1309.564453,999.6542969,1581.012695,1217.898438,1217.905273,767.5805664,1501.956055,950.1953125,2874.205078,1490.488281,4181.855469,3438.941406,3671.552734,2348.646484,1107.22168,805.1303711,719.1064453,465.6320801,623.6845703,643.2578125
558.860090824596/834.212231035022,64,43,59,47,66,49,55,89,156,190.0714111,475.3947754,252.8961182,546.4160156,317.2709961,188,219.9367676,1136.888672,613.5410156,923.6176758,583.5493164,1113.157227,840.9760742,654.8701172,526.1035156,1313.981445,1058.326172,1320.461914,1089.089844,1847.640625,1655.461914,1334.109375,1077.62793,1515.220703,719.6538086,741.2602539,360.2734375,2958.300781,2326.484375,4148.40625,1491.651367,774.9511719,576.7563477,405.0029297,412.7587891,467.8701172,445.2353516
609.417879874246/285.167844180801,306.8691406,111,78,65,284,161.0170898,178.9219971,96,559.0991211,372.2114258,825.6459961,359.6032715,547.2119141,251.2391357,937,679,2851.109375,1140.038086,720.3325195,293.9296875,792,466.4875488,1182.883789,1114,2085.744141,937.2392578,961.0683594,688.8032227,996.4189453,399,1493.927734,941.5126953,1461,479.4863281,2057.337891,635.7138672,1993.123047,1332.828125,4143.144531,1020.11377,790.769043,691.2431641,533,351.3820801,488.1018066,334
568.478739420573/576.211790403458,101,96,77.44720459,82,126,90,137.5351563,93,162.3835449,155.8308105,143,165,201.861084,297,238.0153809,167.4963379,552.3041992,575.2617188,592.3857422,462,891.0678711,506.9223633,715.6064453,621.0317383,1167.333008,686.9306641,927.5170898,736.4672852,1162.657227,666.0810547,1840.821289,1562.578125,1055.713867,986.5327148,1632.128906,813.8110352,2228.144531,1506.917969,4125.863281,2249.300781,368,773.3989258,578.1987305,430,323.4438477,405.6782227
471.455790201823/590.183858738877,54.94058228,47,90,49,54,66.6340332,60,53,143,183.036377,84,125.4042358,151,122,307.3764648,162.2680664,504.0537109,770.2260742,605.8505859,446.2609863,1405.991211,874.0419922,1218.245117,972.1728516,3559.835938,1802.319336,1612.298828,1485.65332,3025.990234,1053.949219,3318.089844,2926.0625,867.9433594,1260.014648,1837.75293,1685.728516,4109.925781,3358.732422,2254.171875,2352.763672,425,1032.325195,733.7661133,653.6713867,490.4467773,430.8288574
527.072899533991/703.328654310581,72,52,47,86,58,49,65,49,96,103.8995361,162,124.9630737,332.3303223,254.1434326,98,59.56201172,345.753418,426,536.402832,439.4829102,398.5583496,558.4946289,309,312.314209,399,431.8630371,676.9838867,469.1691895,1025.295898,763.7797852,1358.908203,1031.070313,1159.625,750.0908203,941.7924805,417.4094238,985.3168945,830.0756836,4101.078125,2330.458984,448.6608887,452.7175293,352.4460449,412,306.8227539,395
388.525791636684/753.091742335656,115.8099365,64,67,57,101.1905518,73,73.37896729,80,335.592041,270.0400391,364.1569824,350.942627,658.4750977,535.6210938,325.3225098,441.9772949,2140.291016,1116,1185.267578,798.1855469,2525.277344,2040.511719,834,1076,3607.060547,2416.732422,2786.302734,2182.263672,3324.447266,2672.130859,2401.705078,1819,3125.761719,2093.785156,4876.929688,3017.078125,6168.21875,4599.90625,4784.121094,2112.757813,1345.783203,1235,920,976,818.8100586,779.0498047
391.76694956997/710.095580863684,46,51.86737061,40,63,97.84112549,138,71.70739746,43,185.4866943,194,253,172.8370361,296.579834,271.8139648,327.5732422,265,984.1098633,659.3432617,792.5371094,518.7495117,1809.244141,1224.448242,553.3564453,622,2490.103516,1370.568359,1939.955078,1483.727539,2319.125,1849.914063,1065.429688,1288.880859,1313.615234,1067.944336,2811.830078,2229.103516,4082.552734,3353.701172,2232.978516,1661.052734,579.0776367,787.7670898,495.807373,428.4748535,629.0200195,593
578.427511650219/849.526440607185,63.74066162,50,58.51437378,58,108,94.02478027,619,475.9499512,69,57,90,49,121.7219238,174,1809.928711,1248.084961,60,59,310.1027832,110,135.2425537,107.3132935,1417.223633,983,71.27539063,71.34692383,245,159,122.239624,114.1986694,2700.841797,2121.732422,57,62,356.5229492,274.689209,136.7094727,118,4078.617188,2548.177734,413.4223633,429.7692871,364,297.6691895,220.3237305,407
31.148017649065/1224.73445094001,1678.620117,1035.257813,2171.265625,1631.383789,519.3344727,298.6821289,3372.751953,1934.858398,2033.525391,1086.677734,3016.822266,1784.808594,5011.941406,2651.4375,2268.339844,1680.799805,5199.167969,2472.619141,3079.636719,1647.585938,2688.751953,2144.302734,2779.962891,2251.498047,2008.236328,1735.204102,2091.689453,1417.112305,1604.945313,1177.691406,2415.140625,1441.538086,3666.320313,1619.886719,2529.523438,1435.632813,1486.749023,1196.419922,4448.085938,1761.211914,4076.302734,3112.677734,2277.611328,2296.1875,1992.347656,1874.837891
550.398454632675/815.287308474473,134,112,92,94,308.6523438,189,217,115,392.7133789,290.8439941,408.628418,511.1689453,976.4672852,943.5078125,734.4199219,619.7036133,1477.787109,814.1425781,955.7260742,546.7373047,3157.876953,2149.365234,1337,1105.713867,2988.152344,2383.349609,1741.06543,1424.763672,3720.082031,2605.185547,1791.59668,1223.737305,1828.833984,1401.634766,864.2836914,577.6621094,4074.919922,3413.505859,3882.013672,1632.102539,1283.8125,765.1601563,882.690918,747,794.1894531,730.3867188
671.785189444559/412.170425929307,119.5864868,68,81,54,214.4415283,69.1003418,142,73.57977295,434,111,544.1196289,338.2797852,440.9460449,191,746.1396484,431.3024902,2311.195313,618.2768555,665.3110352,249,624,324.2736816,1057.925781,900,1819.28125,910.4711914,824,543.6557617,800.7539063,308.4133301,1713.419922,494.458252,1108.102539,655.8461914,1189.90625,434.7165527,1787.289063,728.9746094,4061.939453,905.9301758,734.8266602,783.2402344,458.1491699,278,240.1884766,248.364502
666.150987056264/361.175069910694,108,103,87,139.6459961,187.6402588,193,224,206.4857178,751,308,645.1953125,772.4243164,441,401.3498535,1556,1261.227539,1830.630859,1918.25293,933.9458008,929.9711914,1498.540039,1108.228516,2641.142578,1985.155273,4025.408203,2661.96875,1650.822266,1425.424805,1548,891.1923828,2350.916016,1634.825195,1454.952148,1505.552734,1851.704102,1421.423828,2866.064453,1849.533203,3187.248047,3214.863281,1004,1449.449219,1181,851.4638672,812.1191406,743.7832031
673.631051046806/318.161476078962,81,104.3591309,99,67,89,91.83709717,133.8094482,181,794.3666992,587.5683594,693,603.5908203,394.8417969,255,1031.981445,894,2833.435547,1218.444336,1086.574219,1051.408203,919.7021484,782,1382.698242,1240.850586,2095.228516,1650.413086,1508.323242,1190.661133,1218.291992,905,1523.819336,1032.514648,2018.666992,1710.649414,2131.898438,1556.089844,2415.855469,1507.850586,4001.355469,2002.415039,1078.388672,921.4472656,761.4536133,858.9404297,884,876.0844727
520.771199008875/695.103652972979,90,71,48,42,67,50,65,46,58,55,54,83.23474121,69,66,60.20993042,54,249.6898193,188.1679688,107,82,244,230.7104492,263.1333008,132.6998291,1669.53125,946.8964844,393.045166,323.7470703,1293.727539,741.0844727,904.9638672,920,387,287.2944336,1819.144531,988.5712891,3955.822266,2739.216797,2489.123047,1353.138672,710.2939453,605.5244141,313.9753418,320.3566895,488.5117188,457.0732422
522.95894582648/660.133278013244,153.3339844,195,74,105,108.7445068,180,362.3056641,156.6179199,487.6096191,583.7714844,331.5131836,403.4772949,562.6342773,631.5546875,835.3881836,1094.174805,3913.953125,2468.287109,1688.900391,1433.533203,2037.911133,1500.598633,2699.154297,2142.851563,5653.921875,4520.851563,3098.173828,2738.179688,3778.121094,3470.222656,6294.5,4415.933594,7790.542969,5648.273438,8276.195313,5258.046875,7978.574219,6259.53125,18092.45313,9841.25,2540.34375,2060.037109,2061.066406,1927.28125,2001.108398,1847.881836
592.718965229235/718.416916387976,46,42,68,57,60,40,60,63,147.1811523,181.6431885,466.3024902,376.526123,407.2824707,361.3833008,745.6513672,748.5834961,2517.740234,1315.337891,1192.137695,911,1323.0625,918.8818359,4771.511719,4544.265625,7681.023438,5396.003906,3887.904297,3288.960938,3206.373047,2549.835938,18288.34375,12265.19531,11409.25781,6719.195313,9830.203125,5540.351563,8508.34375,5568.902344,86799.8125,46422.9375,5202.164063,4374.0625,3444.015625,3125.378906,2664.353516,2635.845703
544.348153097588/755.282074232478,122,67.74530029,90.11560059,108.8086548,186.3233643,102.5386963,118,98.58026123,335,274.4733887,678.8950195,435.2055664,1007.54248,773.1757813,751.5654297,704.9580078,1508.274414,878.4897461,784.2851563,398.6052246,2311.683594,1638.34375,974.5576172,883.3896484,3234.003906,1999.064453,1280.482422,1389.686523,3031.845703,2280.197266,1472.368164,1084.581055,1767.019531,1193.000977,750.9648438,488.4685059,3867.861328,2786.810547,3249.650391,1509.725586,962,900.8300781,792.2910156,492,672,488.6896973
561.53926059656/870.227067815141,22735.95313,8126.976563,5652.796875,3431.582031,15490.59375,5356.921875,13418.92188,7035.078125,9028.835938,5277.570313,9443.984375,5329.097656,10718.5625,7007.773438,6082.179688,4006.189453,14862.19531,5727.53125,9637.515625,4320.515625,8209.0625,6497.117188,1888.488281,1742.853516,4204.78125,2785.259766,6459.195313,6237.34375,4956.425781,3013,2450.460938,1453.762695,8983.601563,4447.699219,12528.52344,4514.101563,5080.777344,3731.572266,10497.63281,3838.292969,10454.33594,8000.816406,6079.910156,4868.050781,4618.46875,4589.5
563.097769753975/532.112468976838,5004.28125,2484.431641,2326.603516,1720.073242,4488.800781,1995.255859,3875.939453,2052.914063,2991.046875,1989.040039,3427.984375,2056.582031,3767.707031,1761.183594,1960.712891,1804.672852,4426.042969,2142.722656,3087.609375,1850.307617,2420.478516,1916.914063,1347.231445,1255.250977,2061.808594,1578.625,2815.394531,2139.009766,2518.072266,1228.791992,1486.930664,1264.770508,3391.150391,1592.56543,3417.599609,1835.341797,2323.841797,1793.859375,3781.068359,1542.356445,3582.742188,2721.652344,2099.171875,2083.064453,2010.947266,1412.341797
696.273493181195/260.126034227509,57.95748901,58,74.78912354,56,60,61,101.451355,67,233,144.3321533,209.7321777,182,163.9302979,92.32293701,678.230957,559.0205078,1058.886719,773,314,190,215,211.7995605,1197.617188,1426.788086,1343.219727,1065.901367,322,211,201.90271,187.2232666,1177,892.8984375,618.4609375,488.0351563,684.3896484,337,446.7949219,235,3749.851563,1454.756836,557.2646484,528.4091797,493.6481934,313,377.5124512,271.9321289
31.2802281630667/714.834013725628,1655.435547,1410.228516,3861.798828,3166.648438,1017.212402,532.6162109,2138.341797,1913.912109,3907.511719,2055.53125,3042.84375,3418.232422,2964.591797,2950.195313,2857.017578,2424.582031,2850.572266,2356.539063,4710.886719,3653.853516,4636.152344,3748.761719,4740.390625,3548.033203,4339.265625,2800.28125,3972.066406,2979.583984,3892.839844,2679.855469,5178.460938,4336.835938,3676.070313,3464.59375,3470.537109,3147.257813,3203.041016,3422.066406,4868.527344,2909.427734,2991.708984,3906.660156,2831.871094,2632.660156,2470.199219,2222.152344
328.640109413549/521.064739786466,1345.797852,438.2631836,131,133,553,267.7116699,810.8120117,430.532959,2433.1875,1476.991211,249,137,1074.429688,397.8381348,317.7856445,245.7657471,3729.767578,1376,380.5446777,175.5771484,242.2684326,135.6226807,292.7241211,187.5563965,777.8061523,549.8984375,97.64300537,66,221.6998291,198,216.3615723,141,3067.396484,1218.660156,87.16467285,46,115,171.7703857,405.7998047,157.00354,677.8076172,365,380.1484375,332.9602051,230,356.3615723
31.2882453182287/1020.77844120538,2512.816406,1438.067383,3701.564453,3674.449219,684.0126953,361.9772949,4176.660156,2806.378906,3428.726563,2635.759766,6590.214844,4188.027344,6783.960938,4184.523438,3883.076172,3526.478516,6752.367188,3806.423828,5711.722656,4249.464844,5264.328125,4239.128906,4150.25,4161.042969,4488.25,4133.003906,3743.556641,3437.666016,3027.269531,2780.908203,4940.136719,3934.398438,6377.085938,3432.757813,5362.054688,2431.365234,3754.507813,2661.158203,7666.804688,3106.056641,6545.429688,4405.636719,4712.167969,3563.441406,4160.097656,3711.576172
